primary_title,simple_title,genres,title_type,year,runtime_minutes,average_rating,num_votes
Mystery on Monster Island,mystery on monster island,"Adventure,Comedy,Horror",movie,1981,105,3.8,1076
Legend of Dinosaurs and Monster Birds,legend of dinosaurs and monster birds,"Horror,Sci-Fi",movie,1977,92,4.2,814
Monster Dog,monster dog,"Horror,Music",movie,1984,84,4.4,1640
The Naked Monster,the naked monster,"Comedy,Horror,Sci-Fi",movie,2005,100,5.2,356
Monster in the Closet,monster in the closet,"Comedy,Horror,Sci-Fi",movie,1986,90,4.9,3047
Monster High,monster high,"Comedy,Horror,Sci-Fi",movie,1989,84,3.5,738
The Blue Jean Monster,the blue jean monster,"Comedy,Horror,Sci-Fi",movie,1991,94,6.1,239
Stepmonster,stepmonster,"Comedy,Horror",video,1993,85,5.2,649
Monster Mash: The Movie,monster mash the movie,"Comedy,Horror,Musical",movie,1995,82,4,268
The Monster of Camp Sunshine or How I Learned to Stop Worrying and Love Nature,the monster of camp sunshine or how i learned to stop worrying and love nature,"Comedy,Horror",movie,1964,74,3.9,563
Devil Monster,devil monster,"Adventure,Horror",movie,1946,60,2.1,296
Monster in the Garage,monster in the garage,"Horror,Sci-Fi",video,1997,NA,6.3,31
I Married a Monster,i married a monster,"Horror,Sci-Fi",tvMovie,1998,90,4.2,248
Matthew Blackheart: Monster Smasher,matthew blackheart monster smasher,"Action,Comedy,Horror",tvMovie,2002,94,4.6,254
Blood Beast of Monster Mountain,blood beast of monster mountain,Horror,movie,1975,76,3.5,72
Godzilla: King of the Monsters!,godzilla king of the monsters,"Action,Horror,Sci-Fi",movie,1956,80,6.3,9045
Yokai Monsters: 100 Monsters,yokai monsters 100 monsters,Horror,movie,1968,79,6.5,1024
Yokai Monsters: Along with Ghosts,yokai monsters along with ghosts,"Action,Horror,Mystery",movie,1969,78,6.3,481
Monster!,monster,"Horror,Sci-Fi",tvMovie,1999,95,5,550
Marley's Revenge: The Monster Movie,marleys revenge the monster movie,"Comedy,Horror",movie,1989,83,5.2,50
My Lovely Monster,my lovely monster,"Comedy,Horror",movie,1991,84,5.3,20
Terror of Prehistoric Bloody Monster from Space,terror of prehistoric bloody monster from space,"Comedy,Horror,Sci-Fi",movie,1998,81,5.3,69
How to Make a Monster,how to make a monster,"Horror,Sci-Fi,Thriller",tvMovie,2001,91,4.5,1895
Monster by Moonlight! The Immortal Saga of 'The Wolf Man',monster by moonlight the immortal saga of the wolf man,"Documentary,Horror,Short",video,1999,33,6.8,261
Bride of Monster Mania,bride of monster mania,"Documentary,Horror",tvMovie,2000,50,7,75
Attack of the 50 Foot Monster Mania,attack of the 50 foot monster mania,"Documentary,Horror",tvMovie,1999,56,7.3,152
Big Head Monster,big head monster,"Horror,Mystery",movie,2001,89,5.3,275
100 Years of Horror: The Monster Makers,100 years of horror the monster makers,"Documentary,Horror,Sci-Fi",video,1996,NA,6.1,40
The Frankenstein Files: How Hollywood Made a Monster,the frankenstein files how hollywood made a monster,"Documentary,Horror,Short",video,2002,45,7.1,361
Monster Man,monster man,"Adventure,Comedy,Horror",movie,2003,95,5.6,5282
Stan Winston: Monster Mogul,stan winston monster mogul,"Documentary,Horror,Short",video,2003,5,5.2,60
Monster Island,monster island,"Adventure,Comedy,Horror",tvMovie,2004,92,3.6,1429
The Return of the Forest Monster,the return of the forest monster,"Comedy,Horror",movie,2003,75,6.4,45
Monstersdotcom,monstersdotcom,Horror,video,2003,82,7.9,18
Jan-Gel 3: Hillbilly Monster,jangel 3 hillbilly monster,Horror,video,2003,82,3.6,84
Lover of the Monster,lover of the monster,Horror,movie,1974,83,4.8,214
Monster Mountain,monster mountain,"Horror,Sci-Fi",video,2012,91,3.3,105
Monsterama Sci-Fi Late Night Creature Feature Show Vol. 1,monsterama scifi late night creature feature show vol 1,"Horror,Sci-Fi",video,1996,NA,6.3,16
Space Monster Wangmagwi,space monster wangmagwi,"Horror,Sci-Fi",movie,1967,82,5.1,141
Monster Kid Home Movies,monster kid home movies,"Drama,Fantasy,Horror",video,2005,NA,8.6,51
The Monster of Phantom Lake,the monster of phantom lake,"Comedy,Horror,Sci-Fi",movie,2006,97,5.2,235
Jack Brooks: Monster Slayer,jack brooks monster slayer,"Action,Comedy,Horror",movie,2007,85,5.9,6702
One-Eyed Monster,oneeyed monster,"Comedy,Horror,Sci-Fi",movie,2008,84,4.1,2601
Monster Pool: Chapter Four,monster pool chapter four,Horror,movie,2018,NA,4.5,18
Monster Cops: The Midnight Special,monster cops the midnight special,"Comedy,Horror",video,2006,100,9,14
Momo: The Missouri Monster,momo the missouri monster,"Documentary,Drama,Horror",movie,2019,82,4,155
Monster Ark,monster ark,"Fantasy,Horror,Sci-Fi",tvMovie,2008,84,3.3,1274
Making the Monster: Special Makeup Effects Frankenstein Monster Makeup,making the monster special makeup effects frankenstein monster makeup,"Horror,Short",video,2007,9,6.8,10
Bottle Monster,bottle monster,"Drama,Horror",movie,2020,91,2.5,932
Lordi: Would You Love a Monsterman?,lordi would you love a monsterman,"Horror,Music,Short",video,2006,3,7.1,12
Monster,monster,"Action,Adventure,Horror",video,2008,86,2.1,1540
Green Eyed Monster,green eyed monster,"Horror,Mystery,Sci-Fi",movie,2007,84,2.9,149
The Monsters Hunt at Night,the monsters hunt at night,Horror,movie,2020,75,3.3,10
Monsterpiece Theatre Volume 1,monsterpiece theatre volume 1,"Comedy,Horror",movie,2011,93,5.2,39
Marina Monster,marina monster,"Comedy,Horror",video,2008,72,1.3,162
Bela: Humanoid Monster,bela humanoid monster,"Action,Animation,Horror",movie,2020,90,6.7,55
The Crypt Monster,the crypt monster,"Adventure,Comedy,Horror",movie,2021,116,5.1,384
Monsters Gone Wild!,monsters gone wild,"Documentary,Horror",video,2004,84,4.3,52
Bigfoot: The Monster Within,bigfoot the monster within,"Horror,Thriller",movie,2022,56,3.1,56
Monster Killers,monster killers,"Comedy,Horror",movie,2020,75,5.4,47
The Green Monster,the green monster,"Horror,Thriller",movie,2009,78,4,69
Monsterland,monsterland,"Family,Horror",movie,2008,73,7,18
The Loch Ness Monster,the loch ness monster,"Documentary,Horror",movie,2021,50,7.3,106
Bud Abbott and Lou Costello Meet the Monsters,bud abbott and lou costello meet the monsters,"Animation,Comedy,Horror",video,2008,4,5.7,29
Monster from Bikini Beach,monster from bikini beach,"Comedy,Horror",movie,2008,95,5.1,116
